PARK,ATTENDANCE,year,Region
Marjorie Kinnan Rawlings,18120,2004,NorthCentral
Big Shoals,17469,2004,NorthCentral
Fort Cooper,17037,2004,CentralWest
Dade Battlefield,16999,2004,Central
Indian Key,16585,2004,SouthEast
Lake Talquin/River Bluff,16101,2004,NorthCentral
Cedar Key Scrub,15896,2004,NorthCentral
Natural Bridge Battlefield,15699,2004,NorthCentral
Lignumvitae Key,15341,2004,SouthEast
San Marcos de Apalache,15054,2004,NorthCentral
Bulow Plantation Ruins,14819,2004,CentralEast
Rock Springs Run,14461,2004,NorthCentral
Tosohatchee,13197,2004,Central
Savannas,13018,2004,CentralEast
Kissimmee Prairie,12874,2004,CentralEast
Windley Key,12630,2004,SouthEast
Camp Helen,12627,2004,NorthWest
St. Lucie Inlet,12046,2004,CentralEast
Dudley Farm,11449,2004,NorthCentral
Letchworth Mounds,11417,2004,NorthCentral
Econfina River,9170,2004,NorthCentral
Lower Wekiva River,7434,2004,Central
Deer Lake,7035,2004,NorthWest
Estero Bay,6319,2004,SouthWest
Seabranch,5637,2004,CentralEast
Troy Springs,4186,2004,NorthCentral
Haw Creek,3991,2004,NorthEast
Peacock Springs,3895,2004,NorthCentral
Charlotte Harbor,3562,2004,SouthWest
River Rise,3377,2004,NorthCentral
Madira Bickel Mound,2796,2004,CentralWest
Tarkiln Bayou,2757,2004,NorthWest
John Gorrie Museum,2740,2004,NorthCentral
Mound Key,2713,2004,SouthWest
Terra Ceia,2605,2004,CentralWest
Catfish Creek,1798,2004,Central
Dunn's Creek,1582,2004,NorthEast
Constitution Convention,1566,2004,NorthWest
Madison Blue Springs,1382,2004,NorthCentral
Lake June Scrub,1248,2004,Central
Orman House,976,2004,NorthCentral
Pumpkin Hill Creek,966,2004,NorthEast
Atlantic Ridge,671,2004,SouthEast
San Pedro,667,2004,SouthEast
Beker,4,2004,CentralEast
Lover's Key,968854,2005,SouthWest
Honeymoon Island,953824,2005,CentralWest
John Pennekamp Coral Reef,881790,2005,SouthEast
St. Andrews,747150,2005,NorthWest
Cape Florida,687851,2005,SouthEast
Sebastian Inlet,631838,2005,CentralEast
Delnor-Wiggins Pass,546781,2005,SouthWest
Gasparilla Island,516326,2005,SouthWest
John U. Lloyd Beach,477373,2005,SouthEast
Bahia Honda,462268,2005,SouthEast
Anastasia,413037,2005,CentralWest
Stump Pass Beach,390680,2005,SouthWest
