PARK,ATTENDANCE,year,Region
Lake Talquin/River Bluff,15048,2014,NorthCentral
Marjorie Kinnan Rawlings,14854,2014,NorthCentral
Pumpkin Hill Creek,14042,2014,NorthEast
St. Lucie Inlet,13441,2014,CentralEast
Cedar Key Scrub,12956,2014,NorthCentral
Lower Wekiva River,10324,2014,Central
Windley Key,10096,2014,SouthEast
Estero Bay,9628,2014,SouthWest
Rock Springs Run,9402,2014,NorthCentral
Anderson's Landing,9203,2014,NorthCentral
Orman House,8660,2014,NorthCentral
Big Shoals,8588,2014,NorthCentral
Tarkiln Bayou,8335,2014,NorthWest
Econfina River,8256,2014,NorthCentral
Letchworth Mounds,7719,2014,NorthCentral
River Rise,7597,2014,NorthCentral
Yellow River Marshes,7552,2014,NorthWest
Troy Springs,6837,2014,NorthCentral
Deer Lake,6737,2014,NorthWest
Natural Bridge Battlefield,6251,2014,NorthCentral
Haw Creek,5460,2014,NorthEast
Atlantic Ridge,4887,2014,SouthEast
Catfish Creek,4534,2014,Central
Madira Bickel Mound,4443,2014,CentralWest
John Gorrie Museum,4092,2014,NorthCentral
Constitution Convention,2249,2014,NorthWest
Lake June Scrub,2047,2014,Central
Mound Key,1982,2014,SouthWest
Prices Scrub,1729,2014,NA
Beker,30,2014,CentralEast
